INDEX,TITLE,PLAY_SECONDS,PLAY_TIME,DURATION,LAST_TIME,URL
1,基础班导学-精讲与实战,521,8m41s,0h8m41s,27h8m3s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=1
2,HTML认知-01-初识-网页组成和本质,368,6m8s,0h14m49s,27h1m55s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=2
3,HTML认知-02-了解-初识-浏览器,418,6m58s,0h21m47s,26h54m57s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=3
4,HTML认知-03-初识-web标准,453,7m33s,0h29m20s,26h47m24s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=4
5,HTML认知-04-HTML感知,737,12m17s,0h41m37s,26h35m7s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=5
6,HTML认知-05-HTML骨架,368,6m8s,0h47m45s,26h28m59s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=6
7,HTML认知-06-vscode的简介和使用,708,11m48s,0h59m33s,26h17m11s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=7
8,HTML认知-07-注释,411,6m51s,1h6m24s,26h10m20s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=8
9,HTML认知-08-标签组成和关系,377,6m17s,1h12m41s,26h4m3s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=9
10,HTML认知-09-标题和段落,843,14m3s,1h26m44s,25h50m0s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=10
11,HTML认知-10-换行和水平线标签,240,4m0s,1h30m44s,25h46m0s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=11
12,HTML认知-11-文本格式化标签,588,9m48s,1h40m32s,25h36m12s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=12
13,HTML认知-12-图片-基本使用,545,9m5s,1h49m37s,25h27m7s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=13
14,HTML认知-13-图片-属性,512,8m32s,1h58m9s,25h18m35s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=14
15,HTML认知-14-绝对路径,625,10m25s,2h8m34s,25h8m10s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=15
16,HTML认知-15-相对路径-同级和下级,618,10m18s,2h18m52s,24h57m52s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=16
17,HTML认知-16-相对路径-上级,335,5m35s,2h24m27s,24h52m17s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=17
18,HTML认知-17-音频标签,568,9m28s,2h33m55s,24h42m49s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=18
19,HTML认知-18-视频标签,457,7m37s,2h41m32s,24h35m12s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=19
20,HTML认知-19-超链接,910,15m10s,2h56m42s,24h20m2s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=20
21,HTML认知-20-综合案例-招聘,744,12m24s,3h9m6s,24h7m38s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=21
22,HTML认知-21-综合案例-跳转-index,503,8m23s,3h17m29s,23h59m15s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=22
23,HTML认知-22-综合案例-跳转-其他页面,511,8m31s,3h26m0s,23h50m44s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=23
24,HTML基础-01-列表-使用场景,264,4m24s,3h30m24s,23h46m20s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=24
25,HTML基础-02-列表-无序和有序,521,8m41s,3h39m5s,23h37m39s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=25
26,HTML基础-03-列表-自定义,312,5m12s,3h44m17s,23h32m27s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=26
27,HTML基础-04-表格-使用,801,13m21s,3h57m38s,23h19m6s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=27
28,HTML基础-05-表格-表格标题和表头单元格,441,7m21s,4h4m59s,23h11m45s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=28
29,HTML基础-06-表格-结构标签,536,8m56s,4h13m55s,23h2m49s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=29
30,HTML基础-07-表格-合并单元格,606,10m6s,4h24m1s,22h52m43s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=30
31,HTML基础-08-表单-应用场景,211,3m31s,4h27m32s,22h49m12s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=31
32,HTML基础-09-表单-input基本使用,870,14m30s,4h42m2s,22h34m42s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=32
33,HTML基础-10-表单-input-占位符(提示信息),246,4m6s,4h46m8s,22h30m36s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=33
34,HTML基础-11-表单-单选功能和默认选中,551,9m11s,4h55m19s,22h21m25s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=34
35,HTML基础-12-表单-上传多个文件,179,2m59s,4h58m18s,22h18m26s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=35
36,HTML基础-13-表单-按钮-input,714,11m54s,5h10m12s,22h6m32s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=36
37,HTML基础-14-表单-按钮button,315,5m15s,5h15m27s,22h1m17s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=37
38,HTML基础-15-表单-下拉菜单,440,7m20s,5h22m47s,21h53m57s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=38
39,HTML基础-16-表单-文本域,275,4m35s,5h27m22s,21h49m22s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=39
40,HTML基础-17-表单-label标签,535,8m55s,5h36m17s,21h40m27s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=40
41,HTML基础-18-语义化标签,695,11m35s,5h47m52s,21h28m52s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=41
42,HTML基础-19-字符实体,258,4m18s,5h52m10s,21h24m34s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=42
43,HTML基础-20-综合案例-学生信息表,598,9m58s,6h2m8s,21h14m36s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=43
44,HTML基础-21-综合案例-表单,954,15m54s,6h18m2s,20h58m42s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=44
45,CSS基础-01-体验css,735,12m15s,6h30m17s,20h46m27s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=45
46,CSS基础-02-CSS引入方式,626,10m26s,6h40m43s,20h36m1s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=46
47,CSS基础-03-选择器-标签,272,4m32s,6h45m15s,20h31m29s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=47
48,CSS基础-04-选择器-类,517,8m37s,6h53m52s,20h22m52s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=48
49,CSS基础-05-选择器-id,423,7m3s,7h0m55s,20h15m49s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=49
50,CSS基础-06-选择器-通配符,292,4m52s,7h5m47s,20h10m57s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=50
51,CSS基础-07-文字基本样式,575,9m35s,7h15m22s,20h1m22s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=51
52,CSS基础-08-文字-字体,721,12m1s,7h27m23s,19h49m21s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=52
53,CSS基础-09-拓展-层叠性,128,2m8s,7h29m31s,19h47m13s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=53
54,CSS基础-10-font复合属性,508,8m28s,7h37m59s,19h38m45s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=54
55,CSS基础-11-文本缩进,321,5m21s,7h43m20s,19h33m24s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=55
56,CSS基础-12-水平对齐方式,458,7m38s,7h50m58s,19h25m46s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=56
57,CSS基础-13-文本修饰线,289,4m49s,7h55m47s,19h20m57s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=57
58,CSS基础-14-行高,563,9m23s,8h5m10s,19h11m34s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=58
59,CSS基础-15-谷歌调试工具,758,12m38s,8h17m48s,18h58m56s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=59
60,CSS基础-16-拓展-颜色取值,389,6m29s,8h24m17s,18h52m27s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=60
61,CSS基础-17-拓展-标签居中,242,4m2s,8h28m19s,18h48m25s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=61
62,CSS基础-18-综合案例1-标题完成,831,13m51s,8h42m10s,18h34m34s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=62
63,CSS基础-19-综合案例1-新闻-内容,326,5m26s,8h47m36s,18h29m8s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=63
64,CSS基础-20-综合案例2-图片完成,701,11m41s,8h59m17s,18h17m27s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=64
65,CSS基础-21-综合案例2-产品-文字效果,459,7m39s,9h6m56s,18h9m48s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=65
66,CSS进阶-01-选择器-后代,523,8m43s,9h15m39s,18h1m5s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=66
67,CSS进阶-02-选择器-子代,344,5m44s,9h21m23s,17h55m21s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=67
68,CSS进阶-03-选择器-并集,289,4m49s,9h26m12s,17h50m32s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=68
69,CSS进阶-04-选择器-交集,364,6m4s,9h32m16s,17h44m28s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=69
70,CSS进阶-05-选择器-伪类,274,4m34s,9h36m50s,17h39m54s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=70
71,CSS进阶-06-emmet语法,855,14m15s,9h51m5s,17h25m39s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=71
72,CSS进阶-07-背景-背景色,318,5m18s,9h56m23s,17h20m21s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=72
73,CSS进阶-08-背景-背景图,242,4m2s,10h0m25s,17h16m19s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=73
74,CSS进阶-09-背景-背景平铺,296,4m56s,10h5m21s,17h11m23s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=74
75,CSS进阶-10-背景-背景位置,593,9m53s,10h15m14s,17h1m30s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=75
76,CSS进阶-11-背景-background,717,11m57s,10h27m11s,16h49m33s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=76
77,CSS进阶-12-背景图和img的区别,505,8m25s,10h35m36s,16h41m8s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=77
78,CSS进阶-13-显示模式-块,512,8m32s,10h44m8s,16h32m36s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=78
79,CSS进阶-14-显示模式-行内,361,6m1s,10h50m9s,16h26m35s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=79
80,CSS进阶-15-显示模式-行内块,243,4m3s,10h54m12s,16h22m32s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=80
81,CSS进阶-16-显示模式-转换,478,7m58s,11h2m10s,16h14m34s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=81
82,CSS进阶-17-拓展-标签嵌套,408,6m48s,11h8m58s,16h7m46s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=82
83,CSS进阶-18-CSS特性-继承性,827,13m47s,11h22m45s,15h53m59s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=83
84,CSS进阶-19-CSS特性-层叠性,240,4m0s,11h26m45s,15h49m59s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=84
85,CSS进阶-20-综合案例1,584,9m44s,11h36m29s,15h40m15s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=85
86,CSS进阶-21-综合案例2,711,11m51s,11h48m20s,15h28m24s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=86
87,CSS盒子模型-01-优先级-基本测试,831,13m51s,12h2m11s,15h14m33s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=87
88,CSS盒子模型-02-优先级-叠加计算,547,9m7s,12h11m18s,15h5m26s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=88
89,CSS盒子模型-03-优先级-计算题,861,14m21s,12h25m39s,14h51m5s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=89
90,CSS盒子模型-04-谷歌-排错,801,13m21s,12h39m0s,14h37m44s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=90
91,CSS盒子模型-05-PxCook,748,12m28s,12h51m28s,14h25m16s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=91
92,CSS盒子模型-06-组成,766,12m46s,13h4m14s,14h12m30s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=92
93,CSS盒子模型-07-浏览器效果,251,4m11s,13h8m25s,14h8m19s,https://www.bilibili.com/video/BV1Kg411T7t9/?p=93
