INDEX,TITLE,PLAY_SECONDS,PLAY_TIME,DURATION,LAST_TIME,URL
1,001-带你走进HTML5,735,12m15s,0h12m15s,279h10m42s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=1
2,002-网页为啥叫HTML？,569,9m29s,0h21m44s,279h1m13s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=2
3,003-浏览器知多少,502,8m22s,0h30m6s,278h52m51s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=3
4,004-web标准的制定,711,11m51s,0h41m57s,278h41m0s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=4
5,005-你的第一个网页,919,15m19s,0h57m16s,278h25m41s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=5
6,006-趁手兵器-VSCode,1234,20m34s,1h17m50s,278h5m7s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=6
7,007-文档声明与字符编码,1104,18m24s,1h36m14s,277h46m43s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=7
8,008-HTML常用标签,1601,26m41s,2h2m55s,277h20m2s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=8
9,009-百科词条案例,744,12m24s,2h15m19s,277h7m38s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=9
10,010-不一般的hr,690,11m30s,2h26m49s,276h56m8s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=10
11,011-特殊符号,812,13m32s,2h40m21s,276h42m36s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=11
12,012-div和span标签,732,12m12s,2h52m33s,276h30m24s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=12
13,013-列表-有序列表,786,13m6s,3h5m39s,276h17m18s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=13
14,014-列表-无序列表,488,8m8s,3h13m47s,276h9m10s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=14
15,015-列表-自定义列表,413,6m53s,3h20m40s,276h2m17s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=15
16,016-图片标签的路径,1110,18m30s,3h39m10s,275h43m47s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=16
17,017-图片标签的属性,482,8m2s,3h47m12s,275h35m45s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=17
18,018-费曼学习技巧案例,1006,16m46s,4h3m58s,275h18m59s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=18
19,019-超链接标签,712,11m52s,4h15m50s,275h7m7s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=19
20,020-table表格的基本结构,480,8m0s,4h23m50s,274h59m7s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=20
21,021-table表格的属性,1168,19m28s,4h43m18s,274h39m39s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=21
22,022-tr的属性,437,7m17s,4h50m35s,274h32m22s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=22
23,023-td的属性,415,6m55s,4h57m30s,274h25m27s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=23
24,024-表格合并,944,15m44s,5h13m14s,274h9m43s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=24
25,025-表格案例,536,8m56s,5h22m10s,274h0m47s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=25
26,026-表单标签,1218,20m18s,5h42m28s,273h40m29s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=26
27,027-CSS-内部样式表,770,12m50s,5h55m18s,273h27m39s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=27
28,028-CSS-外部样式表,733,12m13s,6h7m31s,273h15m26s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=28
29,029-CSS-行内样式表,353,5m53s,6h13m24s,273h9m33s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=29
30,030-样式表的优先级,508,8m28s,6h21m52s,273h1m5s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=30
31,031-标签选择器,312,5m12s,6h27m4s,272h55m53s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=31
32,032-类选择器,719,11m59s,6h39m3s,272h43m54s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=32
33,033-id选择器,333,5m33s,6h44m36s,272h38m21s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=33
34,034-通配符选择器,349,5m49s,6h50m25s,272h32m32s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=34
35,035-群组和后代选择器,534,8m54s,6h59m19s,272h23m38s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=35
36,036-伪类选择器,700,11m40s,7h10m59s,272h11m58s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=36
37,037-新闻导航案例,454,7m34s,7h18m33s,272h4m24s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=37
38,038-选择器的权重,827,13m47s,7h32m20s,271h50m37s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=38
39,039-文本属性-大小和字体,740,12m20s,7h44m40s,271h38m17s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=39
40,040-文本属性-文字颜色,518,8m38s,7h53m18s,271h29m39s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=40
41,041-文本属性-加粗与倾斜,429,7m9s,8h0m27s,271h22m30s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=41
42,042-文本属性-文本水平对齐和单行文本垂直居中,748,12m28s,8h12m55s,271h10m2s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=42
43,043-文本属性-间距和首行缩进,622,10m22s,8h23m17s,270h59m40s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=43
44,044-文本属性-文本修饰线,361,6m1s,8h29m18s,270h53m39s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=44
45,045-网站简介案例,692,11m32s,8h40m50s,270h42m7s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=45
46,046-文本属性-检索大小写和font,385,6m25s,8h47m15s,270h35m42s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=46
47,047-列表属性,727,12m7s,8h59m22s,270h23m35s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=47
48,048-背景属性,1315,21m55s,9h21m17s,270h1m40s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=48
49,049-背景图片大小,421,7m1s,9h28m18s,269h54m39s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=49
50,050-背景的固定和滚动,633,10m33s,9h38m51s,269h44m6s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=50
51,051-视觉差案例,590,9m50s,9h48m41s,269h34m16s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=51
52,052-案例,495,8m15s,9h56m56s,269h26m1s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=52
53,053-背景的复合属性,524,8m44s,10h5m40s,269h17m17s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=53
54,054-浮动属性上,990,16m30s,10h22m10s,269h0m47s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=54
55,055-浮动属性下-清浮动,771,12m51s,10h35m1s,268h47m56s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=55
56,056-浮动案例,556,9m16s,10h44m17s,268h38m40s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=56
57,057-盒子模型-内边距,785,13m5s,10h57m22s,268h25m35s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=57
58,058-盒子模型-内边距特性,427,7m7s,11h4m29s,268h18m28s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=58
59,059-盒子模型-边框,698,11m38s,11h16m7s,268h6m50s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=59
60,060-盒子模型-外边距,808,13m28s,11h29m35s,267h53m22s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=60
61,061-盒子模型-外边距特性,1220,20m20s,11h49m55s,267h33m2s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=61
62,062-PS基本操作,862,14m22s,12h4m17s,267h18m40s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=62
63,063-盒子模型案例,1743,29m3s,12h33m20s,266h49m37s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=63
64,064-溢出属性,756,12m36s,12h45m56s,266h37m1s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=64
65,065-溢出属性案例,1836,30m36s,13h16m32s,266h6m25s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=65
66,066-溢出省略号,632,10m32s,13h27m4s,265h55m53s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=66
67,067-元素显示类型-块元素,562,9m22s,13h36m26s,265h46m31s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=67
68,068-元素显示类型-行内元素和行内块元素,434,7m14s,13h43m40s,265h39m17s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=68
69,069-元素显示类型-盒子模型,371,6m11s,13h49m51s,265h33m6s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=69
70,070-元素类型互相转换,682,11m22s,14h1m13s,265h21m44s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=70
71,071-二级菜单,781,13m1s,14h14m14s,265h8m43s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=71
72,072-安利首页 - header,1870,31m10s,14h45m24s,264h37m33s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=72
73,073-安利首页 - banner,502,8m22s,14h53m46s,264h29m11s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=73
74,074-安利首页 - body,829,13m49s,15h7m35s,264h15m22s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=74
75,075-安利首页 - footer,1163,19m23s,15h26m58s,263h55m59s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=75
76,076-定位的属性与属性值,623,10m23s,15h37m21s,263h45m36s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=76
77,077-静态定位与相对定位,363,6m3s,15h43m24s,263h39m33s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=77
78,078-绝对定位,537,8m57s,15h52m21s,263h30m36s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=78
79,079-固定定位,313,5m13s,15h57m34s,263h25m23s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=79
80,080-粘性定位,316,5m16s,16h2m50s,263h20m7s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=80
81,081-定位案例,1200,20m0s,16h22m50s,263h0m7s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=81
82,082-三角形案例,1005,16m45s,16h39m35s,262h43m22s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=82
83,083-定位里的层级,316,5m16s,16h44m51s,262h38m6s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=83
84,084-绝对定位的深入探索,542,9m2s,16h53m53s,262h29m4s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=84
85,085-定位控制元素水平垂直居中,531,8m51s,17h2m44s,262h20m13s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=85
86,086-定位与浮动区别,215,3m35s,17h6m19s,262h16m38s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=86
87,087-锚点,511,8m31s,17h14m50s,262h8m7s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=87
88,088-精灵图,910,15m10s,17h30m0s,261h52m57s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=88
89,089-宽高自适应,1244,20m44s,17h50m44s,261h32m13s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=89
90,090-浮动元素之父元素高度自适应1,900,15m0s,18h5m44s,261h17m13s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=90
91,091-浮动元素之父元素高度自适应2,943,15m43s,18h21m27s,261h1m30s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=91
92,092-窗口自适应,345,5m45s,18h27m12s,260h55m45s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=92
93,093-两栏布局,669,11m9s,18h38m21s,260h44m36s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=93
94,094-三栏布局,908,15m8s,18h53m29s,260h29m28s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=94
95,095-表单进阶-单选框,817,13m37s,19h7m6s,260h15m51s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=95
96,096-表单进阶-复选框,392,6m32s,19h13m38s,260h9m19s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=96
97,097-表单进阶-上传文件和隐藏字段,914,15m14s,19h28m52s,259h54m5s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=97
98,098-表单进阶-下拉菜单,649,10m49s,19h39m41s,259h43m16s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=98
99,099-表单进阶-文本域,728,12m8s,19h51m49s,259h31m8s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=99
100,100-表单进阶-字段集,595,9m55s,20h1m44s,259h21m13s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=100
101,101-H5基础与语法,676,11m16s,20h13m0s,259h9m57s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=101
102,102-H5新增语义化标签,1343,22m23s,20h35m23s,258h47m34s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=102
103,103-H5新增音频标签,634,10m34s,20h45m57s,258h37m0s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=103
104,104-H5新增视频标签,434,7m14s,20h53m11s,258h29m46s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=104
105,105-增强表单-input,1512,25m12s,21h18m23s,258h4m34s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=105
106,106-增强表单-数据列表,332,5m32s,21h23m55s,257h59m2s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=106
107,107-增强表单-属性,753,12m33s,21h36m28s,257h46m29s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=107
