INDEX,TITLE,PLAY_SECONDS,PLAY_TIME,DURATION,LAST_TIME,URL
1,Vue基础-00课程介绍,420,7m0s,0h7m0s,59h42m36s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=1
2,Vue2.0-01学习目标1,56,0m56s,0h7m56s,59h41m40s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=2
3,Vue2.0-02工程化的概念,922,15m22s,0h23m18s,59h26m18s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=3
4,Vue2.0-03了解webpack的概念,426,7m6s,0h30m24s,59h19m12s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=4
5,Vue2.0-04.webpack基础 - 初始化隔行变色的案例,1117,18m37s,0h49m1s,59h0m35s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=5
6,Vue2.0-05.webpack基础 - 安装和配置webpack,1452,24m12s,1h13m13s,58h36m23s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=6
7,Vue2.0-06.webpack基础 - 了解mode可选值的应用场景,383,6m23s,1h19m36s,58h30m0s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=7
8,Vue2.0-07.webpack基础 - 指定webpack的entry和output,1122,18m42s,1h38m18s,58h11m18s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=8
9,Vue2.0-08.插件 - 安装和配置webpack-dev-server这个插件,561,9m21s,1h47m39s,58h1m57s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=9
10,Vue2.0-09.插件 - 介绍webpack-dev-server的工作原理,936,15m36s,2h3m15s,57h46m21s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=10
11,Vue2.0-10.插件 - 安装和配置html-webpack-plugin这个插件,993,16m33s,2h19m48s,57h29m48s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=11
12,Vue2.0-11.插件 - 了解html-webpack-plugin插件的特性,360,6m0s,2h25m48s,57h23m48s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=12
13,Vue2.0-12.插件 - 了解devServer中常用的选项,376,6m16s,2h32m4s,57h17m32s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=13
14,Vue2.0-13.loader - 说明loader的作用,638,10m38s,2h42m42s,57h6m54s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=14
