INDEX,TITLE,PLAY_SECONDS,PLAY_TIME,DURATION,LAST_TIME,URL
1,01-no-sql--了解,774,12m54s,0h12m54s,82h19m48s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=1
2,02-redis简介--了解,372,6m12s,0h19m6s,82h13m36s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=2
3,03-redis的安装和配置--了解,528,8m48s,0h27m54s,82h4m48s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=3
4,04-redis客户端和服务器指令--了解,323,5m23s,0h33m17s,81h59m25s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=4
5,06-string操作,1177,19m37s,0h52m54s,81h39m48s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=5
6,07-键操作,449,7m29s,1h0m23s,81h32m19s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=6
7,08-hash操作,432,7m12s,1h7m35s,81h25m7s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=7
8,09-列表操作,820,13m40s,1h21m15s,81h11m27s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=8
9,10-集合,383,6m23s,1h27m38s,81h5m4s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=9
10,11-有序集合,629,10m29s,1h38m7s,80h54m35s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=10
11,12-上午回顾,695,11m35s,1h49m42s,80h43m0s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=11
12,13-python操作redis,1121,18m41s,2h8m23s,80h24m19s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=12
13,14-git简介,1156,19m16s,2h27m39s,80h5m3s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=13
14,15-git操作的3个区域,635,10m35s,2h38m14s,79h54m28s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=14
15,15-单人操作初始化,1199,19m59s,2h58m13s,79h34m29s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=15
16,16-git的日志以及版本管理,984,16m24s,3h14m37s,79h18m5s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=16
17,17-撤销操作,485,8m5s,3h22m42s,79h10m0s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=17
18,18-git远程仓库,1487,24m47s,3h47m29s,78h45m13s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=18
19,19-总结,389,6m29s,3h53m58s,78h38m44s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=19
20,01.2-反馈,899,14m59s,4h8m57s,78h23m45s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=20
21,02-web程序的流程,899,14m59s,4h23m56s,78h8m46s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=21
22,03-mvc和mvt,949,15m49s,4h39m45s,77h52m57s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=22
23,04-虚拟环境,1731,28m51s,5h8m36s,77h24m6s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=23
24,05-创建django工程,1131,18m51s,5h27m27s,77h5m15s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=24
25,06-子应用,1210,20m10s,5h47m37s,76h45m5s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=25
26,07-ORM的介绍,1092,18m12s,6h5m49s,76h26m53s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=26
27,08-模型的定义,599,9m59s,6h15m48s,76h16m54s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=27
28,09-迁移模型和查看数据表,793,13m13s,6h29m1s,76h3m41s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=28
29,10-上午回顾,783,13m3s,6h42m4s,75h50m38s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=29
30,11-站点管理--了解,866,14m26s,6h56m30s,75h36m12s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=30
31,12-定义视图函数,584,9m44s,7h6m14s,75h26m28s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=31
32,13-路由匹配1,569,9m29s,7h15m43s,75h16m59s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=32
33,14-路由匹配2,955,15m55s,7h31m38s,75h1m4s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=33
34,15-模板的基本使用过--了解,984,16m24s,7h48m2s,74h44m40s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=34
35,16-base_dir和debug--了解,694,11m34s,7h59m36s,74h33m6s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=35
36,17-静态资源设置和访问--了解,394,6m34s,8h6m10s,74h26m32s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=36
37,18-apps--了解,180,3m0s,8h9m10s,74h23m32s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=37
38,19-apps梳理--了解,194,3m14s,8h12m24s,74h20m18s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=38
39,20-项目的准备,828,13m48s,8h26m12s,74h6m30s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=39
40,21-数据库改为mysql,767,12m47s,8h38m59s,73h53m43s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=40
41,22-总结,254,4m14s,8h43m13s,73h49m29s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=41
42,01.3-反馈,464,7m44s,8h50m57s,73h41m45s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=42
43,02-模型类的基本定义,1698,28m18s,9h19m15s,73h13m27s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=43
44,03-外键讲解,1089,18m9s,9h37m24s,72h55m18s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=44
45,04-shell的作用,576,9m36s,9h47m0s,72h45m42s,https://www.bilibili.com/video/BV1nf4y1k7G3/?p=45
